label,waist_mean,waist_max,waist_min,l_thigh_mean,l_thigh_max,r_thigh_mean,r_thigh_max,waist_omega_mean,waist_omega_max,waist_omega_min,l_thigh_omega_mean,l_thigh_omega_max,l_thigh_omega_min,r_thigh_omega_mean,r_thigh_omega_max,r_thigh_omega_min,thigh_mean_diff
standing,-0.469969409247619,-0.399514758234758,-0.527313799810514,0.551463451731962,0.651609911676843,1.41232008455001,1.46225091413604,-0.724664363696557,-0.241365583757191,-1.19352211336559,-0.888093668308284,-0.318235096767874,-1.34013174266306,-0.0298822099253694,1.72274412977011,-0.812506377403986,0.8608566328180479
standing,-0.490169075765037,-0.430267308919866,-0.527313799810514,0.517264898056135,0.566019018964845,1.38383003297238,1.44914331638981,-0.527194826898803,0.6249238325874,-1.19352211336559,-0.749878024898451,-0.318235096767874,-1.34013174266306,-0.513767733104178,0.439294655332003,-0.812506377403986,0.8665651349162451
standing,-0.495819956138488,-0.462032705781155,-0.527313799810514,0.49875138436458,0.53496385606595,1.35662716017732,1.40953191132739,-0.196725239969324,0.66559824876585,-1.19352211336559,-0.497591169395317,-0.192217570855072,-1.31272859065354,-0.646955713681823,-0.374158761835787,-0.812506377403986,0.8578757758127401
standing,-0.474290840636628,-0.398629451135648,-0.527313799810514,0.471994325328527,0.506935106508486,1.33159975964689,1.38056973915366,0.271308809346643,0.995099857178069,-1.12458112211387,-0.483062282759481,-0.192217570855072,-1.05219087659057,-0.607281232183401,-0.345305195844253,-0.812506377403986,0.859605434318363
standing,-0.442463210589889,-0.376692031543001,-0.490965922470252,0.442457216597087,0.498063608371382,1.29832448379682,1.35397079940327,0.681959000849808,0.995099857178069,0.235584685207031,-0.640904792103393,-0.192217570855072,-1.20511805300286,-0.714103345989926,-0.345305195844253,-1.26503072740705,0.8558672671997329
standing,-0.413537901417489,-0.355863977270616,-0.478505753417892,0.407781143676099,0.480446345747268,1.27069176545719,1.32459972211359,0.720149257425406,0.995099857178069,0.271002865161075,-0.691248064168433,-0.192217570855072,-1.20511805300286,-0.700020621785477,-0.151958967096462,-1.26503072740705,0.8629106217810911
standing,-0.372141226259961,-0.26427004204146,-0.441223822273813,0.367702720147436,0.461274890557966,1.242297197929,1.32459972211359,0.824889896518119,1.43909910659485,0.271002865161075,-0.799287506734499,-0.427371935474216,-1.20511805300286,-0.594724353405843,-0.0655072598733088,-1.26503072740705,0.8745944777815641
standing,-0.319471007111692,-0.177870386905965,-0.398629451135648,0.33276458155093,0.399192061166332,1.21344798579133,1.25379204392618,1.06981783689839,1.94220952547546,0.271002865161075,-0.757728913876986,-0.427371935474216,-1.20511805300286,-0.617334617181476,-0.0655072598733088,-1.26503072740705,0.8806834042404
standing,-0.239230345190315,-0.0278321100216914,-0.377381052674153,0.296867924363585,0.374732098490597,1.19555514345324,1.24103500507404,1.44263201128957,2.58922270879906,0.271002865161075,-0.711922587998944,-0.427371935474216,-0.975522792708678,-0.453769078315245,-0.0655072598733088,-1.17393284336259,0.8986872190896551
standing,-0.136109424348226,0.0791301420533728,-0.355863977270616,0.259746607202734,0.322979524328353,1.17258045666688,1.22717203969464,1.9985489663864,2.88241456052232,0.555534464805941,-0.763974447510535,-0.566830920839598,-0.975522792708678,-0.422105642993139,-0.0655072598733088,-0.681785309345015,0.912833849464146
