Time(sec),Force(g),Displacement(mm),Angle(deg),Target_Force(g)
0.013,0.000,0.000,0.49,0.77
0.013,0.000,0.000,0.49,0.77
0.029,0.000,0.000,0.47,0.74
0.030,0.000,0.000,0.47,0.74
0.045,0.000,0.000,0.46,0.73
0.045,0.000,0.000,0.46,0.73
0.090,0.000,0.000,0.48,0.75
0.090,0.000,0.000,0.48,0.75
0.115,0.000,0.000,0.46,0.73
0.115,0.000,0.000,0.46,0.73
0.115,0.000,0.000,0.44,0.69
0.115,0.000,0.000,0.44,0.69
0.120,0.000,0.000,0.43,0.67
0.120,0.000,0.000,0.43,0.67
0.150,0.000,0.000,0.41,0.65
0.150,0.000,0.000,0.41,0.65
0.150,0.000,0.000,0.42,0.65
0.150,0.000,0.000,0.42,0.65
0.157,0.000,0.000,0.41,0.64
0.157,0.000,0.000,0.41,0.64
0.185,0.000,0.000,0.40,0.63
0.185,0.000,0.000,0.40,0.63
0.189,0.000,0.000,0.36,0.57
0.189,0.000,0.000,0.36,0.57
0.204,0.000,0.000,0.35,0.55
0.204,0.000,0.000,0.35,0.55
0.228,0.000,0.000,0.35,0.55
0.228,0.000,0.000,0.35,0.55
0.237,0.000,0.000,0.37,0.58
0.237,0.000,0.000,0.37,0.58
0.253,0.000,0.000,0.38,0.60
0.253,0.000,0.000,0.38,0.60
0.273,0.000,0.000,0.36,0.57
0.273,0.000,0.000,0.36,0.57
0.285,0.000,0.000,0.34,0.53
0.285,0.000,0.000,0.34,0.53
0.301,0.000,0.000,0.34,0.54
0.301,0.000,0.000,0.34,0.54
0.325,0.000,0.000,0.38,0.60
0.325,0.000,0.000,0.38,0.60
0.333,0.000,0.000,0.40,0.63
0.333,0.000,0.000,0.40,0.63
0.348,0.000,0.000,0.41,0.64
0.348,0.000,0.000,0.41,0.64
0.378,0.000,0.000,0.39,0.61
0.378,0.000,0.000,0.39,0.61
0.381,0.000,0.000,0.37,0.57
0.381,0.000,0.000,0.37,0.57
0.397,0.000,0.000,0.37,0.58
0.397,0.000,0.000,0.37,0.58
0.429,0.000,0.000,0.40,0.62
0.429,0.000,0.000,0.40,0.62
0.431,0.000,0.000,0.43,0.68
0.431,0.000,0.000,0.43,0.68
0.445,0.000,0.000,0.46,0.71
0.445,0.000,0.000,0.46,0.71
0.472,0.000,0.000,0.46,0.71
0.472,0.000,0.000,0.46,0.71
0.478,0.000,0.000,0.46,0.71
0.478,0.000,0.000,0.46,0.71
0.493,0.000,0.000,0.47,0.73
0.493,0.000,0.000,0.47,0.73
0.516,0.000,0.000,0.51,0.79
0.516,0.000,0.000,0.51,0.79
0.527,0.000,0.000,0.55,0.86
0.527,0.000,0.000,0.55,0.86
0.540,0.000,0.000,0.57,0.88
0.540,0.000,0.000,0.57,0.88
0.557,0.000,0.000,0.55,0.85
0.557,0.000,0.000,0.55,0.85
0.579,0.000,0.000,0.52,0.81
0.579,0.000,0.000,0.52,0.81
0.588,0.000,0.000,0.50,0.78
0.588,0.000,0.000,0.50,0.78
0.605,0.000,0.000,0.50,0.78
0.605,0.000,0.000,0.50,0.78
