Time(sec),Force(g),Displacement(mm),Waist_Angle(deg),L_Thigh_Angle(deg),R_Thigh_Angle(deg),Target_Force(g)
28.298,0.000,0.000,7.52,-8.72,-12.91,46.60
28.330,0.000,0.000,6.57,-8.24,-12.57,38.56
28.370,0.000,0.000,4.19,-7.07,-11.65,29.49
28.408,0.000,0.000,2.42,-6.34,-11.12,21.51
28.451,0.000,0.000,1.58,-5.95,-10.90,15.20
28.485,0.000,0.000,1.02,-5.75,-10.83,10.49
28.520,0.000,0.000,0.61,-5.43,-10.86,7.12
28.568,0.000,0.000,0.52,-5.47,-10.85,4.77
28.588,0.000,0.000,0.70,-5.58,-10.90,3.16
28.625,0.000,0.000,1.21,-5.77,-11.01,2.07
28.662,0.000,0.000,2.07,-5.99,-11.16,1.35
28.701,0.000,0.000,2.42,-6.12,-11.21,0.87
28.747,0.000,0.000,3.28,-6.16,-11.27,0.56
28.776,0.000,0.000,4.89,-6.10,-11.54,0.36
28.819,0.000,0.000,5.31,-6.04,-11.63,0.23
28.837,0.000,0.000,6.15,-5.89,-11.84,0.15
28.889,0.000,0.000,7.47,-5.85,-12.16,0.09
28.925,0.000,0.000,8.66,-6.00,-12.48,0.06
28.964,0.000,0.000,9.39,-6.14,-12.75,0.04
29.008,0.000,0.000,10.29,-6.37,-12.92,2.24
29.048,0.000,0.000,10.96,-6.57,-12.97,5.14
29.085,0.000,0.000,11.37,-6.65,-12.96,7.95
29.136,0.000,0.000,11.74,-6.85,-12.93,10.40
29.176,0.000,0.000,11.54,-7.22,-13.01,12.45
29.230,0.000,0.000,11.36,-7.40,-13.05,14.06
29.274,0.000,0.000,11.08,-8.03,-13.37,15.20
29.302,0.000,0.000,11.19,-9.14,-13.69,15.93
29.335,0.000,0.000,11.42,-9.43,-13.87,16.37
29.386,0.000,0.000,12.01,-10.03,-13.91,16.63
29.421,0.000,0.000,12.87,-10.28,-13.83,16.88
29.459,0.000,0.000,14.07,-10.23,-13.61,17.24
29.517,0.000,0.000,14.73,-10.06,-13.35,16.04
29.535,0.000,0.000,15.54,-9.62,-13.05,14.54
29.569,0.000,0.000,15.95,-9.23,-12.93,13.21
29.618,0.000,0.000,16.40,-8.70,-12.93,12.20
29.636,0.000,0.000,16.50,-8.56,-13.03,11.46
29.686,0.000,0.000,16.65,-8.04,-13.04,10.97
29.715,0.000,0.000,16.69,-7.88,-13.04,10.63
29.746,0.000,0.000,16.78,-7.49,-13.05,10.42
29.779,0.000,0.000,16.81,-7.36,-12.99,10.29
29.822,0.000,0.000,16.84,-7.37,-12.97,10.21
29.859,0.000,0.000,16.82,-7.52,-12.87,10.16
29.911,0.000,0.000,16.79,-7.63,-12.87,10.15
29.934,0.000,0.000,16.74,-7.80,-12.86,10.18
29.976,0.000,0.000,16.71,-7.86,-12.82,10.24
30.025,0.000,0.000,16.64,-7.84,-12.80,10.29
30.044,0.000,0.000,16.64,-7.83,-12.78,10.31
30.095,0.000,0.000,16.59,-7.73,-12.65,10.30
30.118,0.000,0.000,16.56,-7.64,-12.55,10.29
30.159,0.000,0.000,16.48,-7.51,-12.42,10.29
30.203,0.000,0.000,16.40,-7.36,-12.28,10.30
30.261,0.000,0.000,16.33,-7.24,-12.20,10.31
30.304,0.000,0.000,16.23,-7.12,-12.06,10.33
30.341,0.000,0.000,16.18,-7.07,-11.99,10.31
30.392,0.000,0.000,16.14,-7.08,-11.90,10.25
30.414,0.000,0.000,16.09,-7.06,-11.72,10.19
30.462,0.000,0.000,16.08,-7.03,-11.64,10.13
30.494,0.000,0.000,16.07,-7.02,-11.56,10.05
30.535,0.000,0.000,16.06,-7.03,-11.42,9.97
30.569,0.000,0.000,16.08,-7.01,-11.34,9.89
30.623,0.000,0.000,16.10,-7.04,-11.27,9.83
30.656,0.000,0.000,16.12,-7.01,-11.24,9.79
30.690,0.000,0.000,16.16,-7.00,-11.19,9.76
30.742,0.000,0.000,16.18,-7.01,-11.14,9.75
30.764,0.000,0.000,16.18,-6.96,-11.11,9.74
30.796,0.000,0.000,16.17,-6.94,-11.07,9.74
30.819,0.000,0.000,16.15,-6.94,-11.04,9.77
30.881,0.000,0.000,16.12,-6.98,-10.97,9.79
30.916,0.000,0.000,16.08,-6.96,-10.98,9.83
