Time(sec),Force(g),Displacement(mm),Angle(deg),Target_Force(g)
0.003,0.000,0.000,-0.10,0.00
0.005,0.000,0.000,-0.10,0.00
0.010,0.000,0.000,-0.06,0.00
0.013,0.000,0.000,-0.06,0.00
0.025,0.000,0.000,-0.06,0.00
0.030,0.000,0.000,-0.06,0.00
0.034,0.000,0.000,-0.05,0.00
0.035,0.000,0.000,-0.05,0.00
0.036,0.000,0.000,-0.05,0.00
0.037,0.000,0.000,-0.05,0.00
0.042,0.000,0.000,-0.04,0.00
0.047,0.000,0.000,-0.04,0.00
0.048,0.000,0.000,-0.04,0.00
0.049,0.000,0.000,-0.04,0.00
0.050,0.000,0.000,-0.03,0.00
0.054,0.000,0.000,-0.03,0.00
0.064,0.000,0.000,-0.04,0.00
0.066,0.000,0.000,-0.04,0.00
0.067,0.000,0.000,-0.04,0.00
0.071,0.000,0.000,-0.04,0.00
0.085,0.000,0.000,-0.05,0.00
0.093,0.000,0.000,-0.05,0.00
0.099,0.000,0.000,-0.05,0.00
0.099,0.000,0.000,-0.05,0.00
0.120,0.000,0.000,-0.08,0.00
0.121,0.000,0.000,-0.08,0.00
0.121,0.000,0.000,-0.09,0.00
0.126,0.000,0.000,-0.09,0.00
0.129,0.000,0.000,-0.09,0.00
0.130,0.000,0.000,-0.09,0.00
0.135,0.000,0.000,-0.13,0.00
0.136,0.000,0.000,-0.13,0.00
0.138,0.000,0.000,-0.19,0.00
0.141,0.000,0.000,-0.19,0.00
0.144,0.000,0.000,-0.19,0.00
0.145,0.000,0.000,-0.19,0.00
0.147,0.000,0.000,-0.25,0.00
0.151,0.000,0.000,-0.25,0.00
0.159,0.000,0.000,-0.25,0.00
0.166,0.000,0.000,-0.25,0.00
0.180,0.000,0.000,-0.36,0.00
0.184,0.000,0.000,-0.36,0.00
0.184,0.000,0.000,-0.36,0.00
0.185,0.000,0.000,-0.36,0.00
0.201,0.000,0.000,-0.48,0.00
0.203,0.000,0.000,-0.48,0.00
0.205,0.000,0.000,-0.61,0.00
0.210,0.000,0.000,-0.61,0.00
0.211,0.000,0.000,-0.61,0.00
0.211,0.000,0.000,-0.61,0.00
0.213,0.000,0.000,-0.75,0.00
0.214,0.000,0.000,-0.75,0.00
0.214,0.000,0.000,-0.75,0.00
0.215,0.000,0.000,-0.75,0.00
0.245,0.000,0.000,-0.87,0.00
0.247,0.000,0.000,-0.87,0.00
0.255,0.000,0.000,-0.95,0.00
0.256,0.000,0.000,-0.95,0.00
0.262,0.000,0.000,-0.96,0.00
0.263,0.000,0.000,-0.96,0.00
0.268,0.000,0.000,-0.96,0.00
0.269,0.000,0.000,-0.96,0.00
0.286,0.000,0.000,-0.90,0.00
0.287,0.000,0.000,-0.90,0.00
0.319,0.000,0.000,-0.90,0.00
0.320,0.000,0.000,-0.90,0.00
0.322,0.000,0.000,-0.78,0.00
0.326,0.000,0.000,-0.78,0.00
0.327,0.000,0.000,-0.78,0.00
0.328,0.000,0.000,-0.78,0.00
0.335,0.000,0.000,-0.57,0.00
0.336,0.000,0.000,-0.57,0.00
0.338,0.000,0.000,-0.57,0.00
0.341,0.000,0.000,-0.57,0.00
0.344,0.000,0.000,-0.28,0.00
0.345,0.000,0.000,-0.28,0.00
0.345,0.000,0.000,-0.28,0.00
0.346,0.000,0.000,-0.28,0.00
0.347,0.000,0.000,0.19,0.00
0.351,0.000,0.000,0.19,0.00
0.352,0.000,0.000,0.19,0.00
0.352,0.000,0.000,0.19,0.00
0.354,0.000,0.000,0.89,0.00
0.355,0.000,0.000,0.89,0.00
0.357,0.000,0.000,0.89,0.00
0.362,0.000,0.000,0.89,0.00
0.396,0.000,0.000,1.62,0.00
0.397,0.000,0.000,1.62,0.00
0.399,0.000,0.000,1.99,0.00
0.403,0.000,0.000,1.99,0.00
0.406,0.000,0.000,2.36,0.00
0.409,0.000,0.000,2.36,0.00
0.436,0.000,0.000,2.71,0.00
0.437,0.000,0.000,2.71,0.00
0.438,0.000,0.000,2.71,0.00
0.438,0.000,0.000,2.71,0.00
0.442,0.000,0.000,2.98,0.00
0.452,0.000,0.000,2.98,0.00
0.453,0.000,0.000,3.28,0.00
0.454,0.000,0.000,3.28,0.00
0.512,0.000,0.000,3.56,0.00
0.520,0.000,0.000,3.56,0.00
0.521,0.000,0.000,3.83,0.00
0.528,0.000,0.000,3.83,0.00
0.536,0.000,0.000,4.03,0.00
0.537,0.000,0.000,4.03,0.00
0.542,0.000,0.000,4.03,0.00
0.547,0.000,0.000,4.03,0.00
0.551,0.000,0.000,4.19,0.00
0.552,0.000,0.000,4.19,0.00
0.553,0.000,0.000,4.19,0.00
0.553,0.000,0.000,4.19,0.00
0.554,0.000,0.000,4.33,0.00
0.561,0.000,0.000,4.33,0.00
0.564,0.000,0.000,4.33,0.00
0.565,0.000,0.000,4.33,0.00
0.569,0.000,0.000,4.41,0.00
0.570,0.000,0.000,4.41,0.00
0.577,0.000,0.000,4.41,0.00
0.586,0.000,0.000,4.41,0.00
0.587,0.000,0.000,4.41,0.00
0.590,0.000,0.000,4.41,0.00
0.603,0.000,0.000,4.36,0.00
0.604,0.000,0.000,4.36,0.00
0.613,0.000,0.000,4.25,0.00
0.614,0.000,0.000,4.25,0.00
0.615,0.000,0.000,4.25,0.00
0.620,0.000,0.000,4.25,0.00
0.641,0.000,0.000,4.12,0.00
0.647,0.000,0.000,4.12,0.00
0.648,0.000,0.000,4.12,0.00
0.649,0.000,0.000,4.12,0.00
0.650,0.000,0.000,3.91,0.00
0.655,0.000,0.000,3.91,0.00
0.662,0.000,0.000,3.67,0.00
