Time(sec),Force(g),Displacement(mm),Angle(deg),Target_Force(g)
0.664,0.000,0.000,3.67,0.00
0.668,0.000,0.000,3.43,0.00
0.669,0.000,0.000,3.43,0.00
0.670,0.000,0.000,3.43,0.00
0.680,0.000,0.000,3.43,0.00
0.684,0.000,0.000,3.16,0.00
0.685,0.000,0.000,3.16,0.00
0.704,0.000,0.000,2.90,0.00
0.709,0.000,0.000,2.90,0.00
0.719,0.000,0.000,2.90,0.00
0.735,0.000,0.000,2.90,0.00
0.751,0.000,0.000,2.63,0.00
0.752,0.000,0.000,2.63,0.00
0.753,0.000,0.000,2.63,0.00
0.754,0.000,0.000,2.63,0.00
0.760,0.000,0.000,2.35,0.00
0.768,0.000,0.000,2.35,0.00
0.770,0.000,0.000,2.11,0.00
0.778,0.000,0.000,2.11,0.00
0.785,0.000,0.000,1.83,0.00
0.786,0.000,0.000,1.83,0.00
0.787,0.000,0.000,1.54,0.00
0.794,0.000,0.000,1.54,0.00
0.801,0.000,0.000,1.31,0.00
0.802,0.000,0.000,1.31,0.00
0.819,0.000,0.000,1.07,0.00
0.820,0.000,0.000,1.07,0.00
0.840,0.000,0.000,0.87,0.00
0.843,0.000,0.000,0.87,0.00
0.847,0.000,0.000,0.70,0.00
0.851,0.000,0.000,0.70,0.00
0.854,0.000,0.000,0.44,0.00
0.863,0.000,0.000,0.44,0.00
0.864,0.000,0.000,0.44,0.00
0.865,0.000,0.000,0.44,0.00
0.869,0.000,0.000,0.19,0.00
0.871,0.000,0.000,0.19,0.00
0.878,0.000,0.000,0.19,0.00
0.879,0.000,0.000,0.19,0.00
0.898,0.000,0.000,-0.07,0.00
0.898,0.000,0.000,-0.07,0.00
0.899,0.000,0.000,-0.07,0.00
0.900,0.000,0.000,-0.07,0.00
0.921,0.000,0.000,-0.28,0.00
0.928,0.000,0.000,-0.28,0.00
0.930,0.000,0.000,-0.28,0.00
0.931,0.000,0.000,-0.28,0.00
0.936,0.000,0.000,-0.47,0.00
0.937,0.000,0.000,-0.47,0.00
0.944,0.000,0.000,-0.47,0.00
0.951,0.000,0.000,-0.47,0.00
0.954,0.000,0.000,-0.59,0.00
0.962,0.000,0.000,-0.59,0.00
0.968,0.000,0.000,-0.59,0.00
0.969,0.000,0.000,-0.59,0.00
0.970,0.000,0.000,-0.64,0.00
0.971,0.000,0.000,-0.64,0.00
0.977,0.000,0.000,-0.61,0.00
0.985,0.000,0.000,-0.61,0.00
0.986,0.000,0.000,-0.61,0.00
0.987,0.000,0.000,-0.61,0.00
1.014,0.000,0.000,-0.46,0.00
1.015,0.000,0.000,-0.46,0.00
1.016,0.000,0.000,-0.25,0.00
1.021,0.000,0.000,-0.25,0.00
1.043,0.000,0.000,-0.03,0.00
1.044,0.000,0.000,-0.03,0.00
1.049,0.000,0.000,0.11,0.00
1.052,0.000,0.000,0.11,0.00
1.062,0.000,0.000,0.21,0.00
1.067,0.000,0.000,0.21,0.00
1.069,0.000,0.000,0.38,0.00
1.070,0.000,0.000,0.38,0.00
1.090,0.000,0.000,0.70,0.00
1.096,0.000,0.000,0.70,0.00
1.097,0.000,0.000,0.70,0.00
1.103,0.000,0.000,0.70,0.00
1.128,0.000,0.000,1.20,0.00
1.132,0.000,0.000,1.20,0.00
1.135,0.000,0.000,1.20,0.00
1.137,0.000,0.000,1.20,0.00
1.138,0.000,0.000,1.66,0.00
1.147,0.000,0.000,1.66,0.00
1.153,0.000,0.000,1.66,0.00
1.154,0.000,0.000,1.66,0.00
1.168,0.000,0.000,1.87,0.00
1.169,0.000,0.000,1.87,0.00
1.200,0.000,0.000,2.14,0.00
1.213,0.000,0.000,2.14,0.00
1.215,0.000,0.000,2.53,0.00
1.218,0.000,0.000,2.53,0.00
1.219,0.000,0.000,2.79,0.00
1.219,0.000,0.000,2.79,0.00
1.220,0.000,0.000,2.79,0.00
1.228,0.000,0.000,2.79,0.00
1.235,0.000,0.000,3.07,0.00
1.236,0.000,0.000,3.07,0.00
1.237,0.000,0.000,3.07,0.00
1.246,0.000,0.000,3.07,0.00
1.253,0.000,0.000,3.28,0.00
1.254,0.000,0.000,3.28,0.00
1.262,0.000,0.000,3.28,0.00
1.267,0.000,0.000,3.28,0.00
1.269,0.000,0.000,3.53,0.00
1.270,0.000,0.000,3.53,0.00
1.286,0.000,0.000,3.74,0.00
1.287,0.000,0.000,3.74,0.00
1.290,0.000,0.000,3.97,0.00
1.296,0.000,0.000,3.97,0.00
1.302,0.000,0.000,4.16,0.00
1.302,0.000,0.000,4.16,0.00
1.329,0.000,0.000,4.18,0.00
1.333,0.000,0.000,4.18,0.00
1.334,0.000,0.000,4.14,0.00
1.344,0.000,0.000,4.14,0.00
1.345,0.000,0.000,4.14,0.00
1.346,0.000,0.000,4.14,0.00
1.347,0.000,0.000,4.04,0.00
1.352,0.000,0.000,4.04,0.00
1.354,0.000,0.000,3.89,0.00
1.358,0.000,0.000,3.89,0.00
1.360,0.000,0.000,3.89,0.00
1.361,0.000,0.000,3.89,0.00
1.362,0.000,0.000,3.72,0.00
1.363,0.000,0.000,3.72,0.00
1.364,0.000,0.000,3.72,0.00
1.368,0.000,0.000,3.72,0.00
1.370,0.000,0.000,3.46,0.00
1.371,0.000,0.000,3.46,0.00
1.371,0.000,0.000,3.46,0.00
1.378,0.000,0.000,3.46,0.00
1.388,0.000,0.000,3.18,0.00
1.397,0.000,0.000,3.18,0.00
1.418,0.000,0.000,2.81,0.00
1.418,0.000,0.000,2.81,0.00
1.419,0.000,0.000,2.81,0.00
1.420,0.000,0.000,2.81,0.00
1.423,0.000,0.000,2.38,0.00
1.428,0.000,0.000,2.38,0.00
1.430,0.000,0.000,1.91,0.00
1.431,0.000,0.000,1.91,0.00
1.435,0.000,0.000,1.91,0.00
1.435,0.000,0.000,1.91,0.00
1.477,0.000,0.000,1.49,0.00
1.489,0.000,0.000,1.49,0.00
1.492,0.000,0.000,1.14,0.00
1.493,0.000,0.000,1.14,0.00
1.498,0.000,0.000,1.14,0.00
1.501,0.000,0.000,1.14,0.00
1.503,0.000,0.000,0.84,0.00
1.504,0.000,0.000,0.84,0.00
1.505,0.000,0.000,0.84,0.00
1.509,0.000,0.000,0.84,0.00
1.510,0.000,0.000,0.56,0.00
1.511,0.000,0.000,0.56,0.00
1.512,0.000,0.000,0.56,0.00
1.513,0.000,0.000,0.56,0.00
1.517,0.000,0.000,0.23,0.00
1.518,0.000,0.000,0.23,0.00
1.534,0.000,0.000,0.02,0.00
1.536,0.000,0.000,0.02,0.00
1.536,0.000,0.000,0.02,0.00
1.538,0.000,0.000,0.02,0.00
1.559,0.000,0.000,0.01,0.00
1.560,0.000,0.000,0.01,0.00
1.561,0.000,0.000,0.01,0.00
1.564,0.000,0.000,0.01,0.00
1.569,0.000,0.000,0.02,0.00
1.570,0.000,0.000,0.02,0.00
1.575,0.000,0.000,0.02,0.00
1.577,0.000,0.000,0.02,0.00
1.578,0.000,0.000,0.10,0.00
1.579,0.000,0.000,0.10,0.00
1.580,0.000,0.000,0.10,0.00
1.584,0.000,0.000,0.10,0.00
1.586,0.000,0.000,0.15,0.00
1.587,0.000,0.000,0.15,0.00
1.588,0.000,0.000,0.15,0.00
1.589,0.000,0.000,0.15,0.00
1.618,0.000,0.000,0.16,0.00
1.619,0.000,0.000,0.16,0.00
1.635,0.000,0.000,0.16,0.00
1.635,0.000,0.000,0.16,0.00
1.636,0.000,0.000,0.16,0.00
1.637,0.000,0.000,0.16,0.00
1.638,0.000,0.000,0.12,0.00
1.639,0.000,0.000,0.12,0.00
1.671,0.000,0.000,0.02,0.00
1.674,0.000,0.000,0.02,0.00
1.677,0.000,0.000,0.05,0.00
1.677,0.000,0.000,0.05,0.00
1.684,0.000,0.000,0.26,0.00
1.685,0.000,0.000,0.26,0.00
1.718,0.000,0.000,0.58,0.00
1.719,0.000,0.000,0.58,0.00
1.721,0.000,0.000,0.93,0.00
1.726,0.000,0.000,0.93,0.00
1.728,0.000,0.000,0.93,0.00
1.729,0.000,0.000,0.93,0.00
1.730,0.000,0.000,1.28,0.00
1.735,0.000,0.000,1.28,0.00
1.736,0.000,0.000,1.28,0.00
1.736,0.000,0.000,1.28,0.00
1.763,0.000,0.000,1.63,0.00
1.768,0.000,0.000,1.63,0.00
1.772,0.000,0.000,2.03,0.00
1.777,0.000,0.000,2.03,0.00
1.779,0.000,0.000,2.53,0.00
1.780,0.000,0.000,2.53,0.00
1.786,0.000,0.000,2.53,0.00
1.795,0.000,0.000,2.53,0.00
1.812,0.000,0.000,3.02,0.00
1.813,0.000,0.000,3.02,0.00
1.817,0.000,0.000,3.02,0.00
1.818,0.000,0.000,3.02,0.00
1.836,0.000,0.000,3.47,0.00
1.837,0.000,0.000,3.47,0.00
1.838,0.000,0.000,3.99,0.00
1.841,0.000,0.000,3.99,0.00
1.843,0.000,0.000,3.99,0.00
1.844,0.000,0.000,3.99,0.00
1.847,0.000,0.000,4.57,0.00
1.851,0.000,0.000,4.57,0.00
1.852,0.000,0.000,4.57,0.00
1.853,0.000,0.000,4.57,0.00
1.869,0.000,0.000,5.15,0.00
1.870,0.000,0.000,5.15,0.00
1.894,0.000,0.000,5.79,0.00
1.895,0.000,0.000,5.79,0.00
1.897,0.000,0.000,5.79,0.00
1.898,0.000,0.000,5.79,0.00
1.902,0.000,0.000,6.43,0.00
1.903,0.000,0.000,6.43,0.00
1.907,0.000,0.000,7.06,0.00
1.909,0.000,0.000,7.06,0.00
1.931,0.000,0.000,7.72,0.00
1.932,0.000,0.000,7.72,0.00
1.933,0.000,0.000,7.72,0.00
1.937,0.000,0.000,7.72,0.00
1.948,0.000,0.000,8.35,0.00
1.952,0.000,0.000,8.35,0.00
1.953,0.000,0.000,8.35,0.00
1.953,0.000,0.000,8.35,0.00
1.957,0.000,0.000,8.94,0.00
1.968,0.000,0.000,8.94,0.00
1.969,0.000,0.000,8.94,0.00
1.971,0.000,0.000,8.94,0.00
1.986,0.000,0.000,9.59,0.00
1.987,0.000,0.000,9.59,0.00
1.988,0.000,0.000,9.59,0.00
1.988,0.000,0.000,9.59,0.00
2.007,0.000,0.000,10.23,2.56
2.010,0.000,0.000,10.23,4.60
2.011,0.000,0.000,10.84,6.39
2.013,0.000,0.000,10.84,7.82
2.014,0.000,0.000,10.84,8.96
2.015,0.000,0.000,10.84,9.87
2.021,0.000,0.000,11.53,10.76
2.023,0.000,0.000,11.53,11.47
2.027,0.000,0.000,11.53,12.04
2.028,0.000,0.000,11.53,12.49
2.061,0.000,0.000,12.15,13.00
2.068,0.000,0.000,12.15,13.41
2.069,0.000,0.000,12.15,13.74
2.070,0.000,0.000,12.15,14.00
2.070,0.000,0.000,12.82,14.38
2.074,0.000,0.000,12.82,14.68
2.077,0.000,0.000,13.50,15.03
2.080,0.000,0.000,13.50,15.31
2.085,0.000,0.000,14.17,15.71
2.086,0.000,0.000,14.17,16.03
2.118,0.000,0.000,14.90,16.46
2.119,0.000,0.000,14.90,16.81
2.122,0.000,0.000,15.52,17.22
2.129,0.000,0.000,15.52,17.56
2.131,0.000,0.000,16.20,17.91
2.134,0.000,0.000,16.20,18.18
2.138,0.000,0.000,16.20,18.40
2.143,0.000,0.000,16.20,18.58
2.156,0.000,0.000,16.90,18.89
2.159,0.000,0.000,16.90,19.14
2.160,0.000,0.000,16.90,19.34
2.163,0.000,0.000,16.90,19.50
2.177,0.000,0.000,17.56,19.77
2.180,0.000,0.000,17.56,19.99
2.184,0.000,0.000,18.33,20.29
2.185,0.000,0.000,18.33,20.53
2.219,0.000,0.000,19.00,20.83
2.220,0.000,0.000,19.00,21.08
2.221,0.000,0.000,19.00,21.27
2.222,0.000,0.000,19.00,21.43
2.230,0.000,0.000,19.64,21.80
2.234,0.000,0.000,19.64,22.09
2.235,0.000,0.000,20.29,22.42
2.236,0.000,0.000,20.29,22.68
2.237,0.000,0.000,20.29,22.89
2.238,0.000,0.000,20.29,23.06
2.244,0.000,0.000,20.94,23.30
2.245,0.000,0.000,20.94,23.49
2.246,0.000,0.000,20.94,23.64
2.247,0.000,0.000,20.94,23.76
2.282,0.000,0.000,21.61,24.03
2.283,0.000,0.000,21.61,24.25
2.293,0.000,0.000,22.24,24.57
2.294,0.000,0.000,22.24,24.82
2.296,0.000,0.000,22.84,25.09
2.297,0.000,0.000,22.84,25.31
2.301,0.000,0.000,22.84,25.49
2.308,0.000,0.000,22.84,25.63
2.325,0.000,0.000,23.43,25.93
2.326,0.000,0.000,23.43,26.17
2.328,0.000,0.000,23.43,23.62
2.330,0.000,0.000,23.43,21.58
2.344,0.000,0.000,24.02,20.00
2.345,0.000,0.000,24.02,18.74
2.347,0.000,0.000,24.61,17.79
2.351,0.000,0.000,24.61,17.02
2.352,0.000,0.000,24.61,16.41
2.354,0.000,0.000,24.61,15.92
2.359,0.000,0.000,25.21,15.59
2.360,0.000,0.000,25.21,15.32
2.361,0.000,0.000,25.21,15.10
2.362,0.000,0.000,25.21,14.93
2.405,0.000,0.000,25.79,14.84
2.406,0.000,0.000,25.79,17.81
2.407,0.000,0.000,26.35,20.31
2.408,0.000,0.000,26.35,19.19
2.412,0.000,0.000,26.35,18.30
2.413,0.000,0.000,26.35,17.59
2.419,0.000,0.000,26.94,17.06
2.421,0.000,0.000,26.94,16.65
2.425,0.000,0.000,26.94,19.44
2.427,0.000,0.000,26.94,21.68
2.428,0.000,0.000,27.51,20.39
2.429,0.000,0.000,27.51,19.35
2.448,0.000,0.000,28.10,18.57
2.451,0.000,0.000,28.10,17.95
2.469,0.000,0.000,28.10,17.45
2.470,0.000,0.000,28.10,17.05
2.485,0.000,0.000,28.71,16.78
2.486,0.000,0.000,28.71,16.56
2.487,0.000,0.000,29.28,16.43
2.488,0.000,0.000,29.28,16.32
2.491,0.000,0.000,29.89,16.29
2.493,0.000,0.000,29.89,16.26
2.498,0.000,0.000,29.89,16.23
2.502,0.000,0.000,29.89,16.22
2.504,0.000,0.000,30.50,16.25
2.505,0.000,0.000,30.50,19.62
2.540,0.000,0.000,31.13,22.49
2.542,0.000,0.000,31.13,24.78
2.546,0.000,0.000,31.77,26.65
2.549,0.000,0.000,31.77,28.15
2.550,0.000,0.000,31.77,29.34
2.553,0.000,0.000,31.77,30.30
2.559,0.000,0.000,32.47,31.10
2.561,0.000,0.000,32.47,31.75
2.561,0.000,0.000,32.47,32.26
2.562,0.000,0.000,32.47,32.68
2.564,0.000,0.000,33.17,33.09
2.568,0.000,0.000,33.17,33.43
2.602,0.000,0.000,33.89,33.76
2.602,0.000,0.000,33.89,34.03
2.604,0.000,0.000,34.60,34.25
2.606,0.000,0.000,34.60,34.42
2.610,0.000,0.000,34.60,34.56
2.611,0.000,0.000,34.60,34.67
2.617,0.000,0.000,35.27,34.83
2.619,0.000,0.000,35.27,34.96
2.621,0.000,0.000,35.27,35.07
2.622,0.000,0.000,35.27,35.15
2.637,0.000,0.000,35.93,35.31
2.638,0.000,0.000,35.93,35.43
2.645,0.000,0.000,35.93,35.53
2.646,0.000,0.000,35.93,35.60
2.664,0.000,0.000,36.68,35.73
2.667,0.000,0.000,36.68,35.82
2.668,0.000,0.000,36.68,35.90
2.669,0.000,0.000,36.68,35.96
2.676,0.000,0.000,37.37,36.14
2.678,0.000,0.000,37.37,36.28
2.680,0.000,0.000,38.12,36.28
2.685,0.000,0.000,38.12,36.27
2.686,0.000,0.000,38.12,36.27
2.687,0.000,0.000,38.12,36.26
2.702,0.000,0.000,38.85,36.32
2.703,0.000,0.000,38.85,36.36
2.704,0.000,0.000,38.85,36.39
2.706,0.000,0.000,38.85,36.42
2.728,0.000,0.000,39.59,36.47
2.730,0.000,0.000,39.59,36.51
2.736,0.000,0.000,39.59,36.54
2.737,0.000,0.000,39.59,36.56
2.742,0.000,0.000,40.26,36.67
2.746,0.000,0.000,40.26,36.75
2.751,0.000,0.000,40.26,36.81
2.752,0.000,0.000,40.26,36.87
2.753,0.000,0.000,41.00,36.86
2.754,0.000,0.000,41.00,36.86
2.755,0.000,0.000,41.00,36.86
2.758,0.000,0.000,41.00,36.86
2.761,0.000,0.000,41.77,37.10
2.761,0.000,0.000,41.77,37.30
2.762,0.000,0.000,41.77,37.46
2.764,0.000,0.000,41.77,37.59
2.779,0.000,0.000,42.59,37.70
2.781,0.000,0.000,42.59,37.78
2.802,0.000,0.000,42.59,37.85
2.803,0.000,0.000,42.59,37.91
2.804,0.000,0.000,43.36,37.98
2.805,0.000,0.000,43.36,38.04
2.811,0.000,0.000,43.36,38.09
2.812,0.000,0.000,43.36,38.13
2.818,0.000,0.000,44.12,38.18
2.819,0.000,0.000,44.12,38.22
2.820,0.000,0.000,44.90,38.31
2.821,0.000,0.000,44.90,38.38
2.845,0.000,0.000,45.69,38.41
2.849,0.000,0.000,45.69,38.43
2.852,0.000,0.000,46.51,38.46
2.854,0.000,0.000,46.51,38.48
2.862,0.000,0.000,46.51,38.50
2.868,0.000,0.000,46.51,38.51
2.869,0.000,0.000,47.32,38.55
2.870,0.000,0.000,47.32,38.58
2.922,0.000,0.000,48.08,38.60
2.927,0.000,0.000,48.08,38.62
2.936,0.000,0.000,48.82,38.64
2.937,0.000,0.000,48.82,38.65
2.938,0.000,0.000,49.64,38.67
2.943,0.000,0.000,49.64,38.68
2.944,0.000,0.000,49.64,38.70
2.945,0.000,0.000,49.64,38.71
2.946,0.000,0.000,50.38,38.76
2.947,0.000,0.000,50.38,38.81
2.952,0.000,0.000,51.19,38.84
2.953,0.000,0.000,51.19,38.87
2.997,0.000,0.000,52.01,38.82
3.000,0.000,0.000,52.01,38.78
3.005,0.000,0.000,52.01,38.75
3.005,0.000,0.000,52.01,38.72
3.009,0.000,0.000,52.85,38.74
3.010,0.000,0.000,52.85,38.75
3.014,0.000,0.000,53.69,38.68
3.018,0.000,0.000,53.69,38.63
3.019,0.000,0.000,53.69,38.59
3.020,0.000,0.000,53.69,38.56
3.023,0.000,0.000,54.44,38.50
3.027,0.000,0.000,54.44,38.46
3.028,0.000,0.000,54.44,38.42
3.029,0.000,0.000,54.44,38.39
3.034,0.000,0.000,55.15,38.39
3.038,0.000,0.000,55.15,38.38
3.046,0.000,0.000,55.15,38.38
3.047,0.000,0.000,55.15,38.38
3.061,0.000,0.000,55.91,38.43
3.063,0.000,0.000,55.91,38.48
3.063,0.000,0.000,55.91,38.51
3.068,0.000,0.000,55.91,38.54
3.083,0.000,0.000,56.73,38.49
3.084,0.000,0.000,56.73,38.45
3.085,0.000,0.000,56.73,38.42
3.085,0.000,0.000,56.73,38.40
3.089,0.000,0.000,57.54,38.52
3.090,0.000,0.000,57.54,38.62
3.095,0.000,0.000,58.34,38.66
3.096,0.000,0.000,58.34,38.69
3.097,0.000,0.000,58.34,38.72
3.101,0.000,0.000,58.34,38.74
3.144,0.000,0.000,59.11,38.78
3.145,0.000,0.000,59.11,38.81
3.151,0.000,0.000,59.91,38.81
3.152,0.000,0.000,59.91,38.81
3.155,0.000,0.000,60.65,38.82
3.158,0.000,0.000,60.65,38.83
3.161,0.000,0.000,61.40,38.82
3.161,0.000,0.000,61.40,38.82
3.186,0.000,0.000,62.03,39.00
3.187,0.000,0.000,62.03,39.14
3.188,0.000,0.000,62.85,39.06
3.196,0.000,0.000,62.85,38.99
3.204,0.000,0.000,62.85,38.94
3.209,0.000,0.000,62.85,38.90
3.211,0.000,0.000,63.60,38.91
3.212,0.000,0.000,63.60,38.92
3.218,0.000,0.000,64.38,38.89
3.219,0.000,0.000,64.38,38.87
3.221,0.000,0.000,64.38,38.85
3.221,0.000,0.000,64.38,38.84
3.242,0.000,0.000,65.16,38.82
3.243,0.000,0.000,65.16,38.81
3.251,0.000,0.000,65.73,38.77
3.252,0.000,0.000,65.73,38.73
3.255,0.000,0.000,65.73,38.70
3.262,0.000,0.000,65.73,38.68
3.267,0.000,0.000,66.45,38.82
3.268,0.000,0.000,66.45,38.94
3.269,0.000,0.000,66.45,39.03
3.271,0.000,0.000,66.45,39.11
3.303,0.000,0.000,67.15,39.17
3.303,0.000,0.000,67.15,39.22
3.305,0.000,0.000,67.15,39.27
3.307,0.000,0.000,67.15,39.30
3.312,0.000,0.000,67.94,39.37
3.313,0.000,0.000,67.94,39.43
3.317,0.000,0.000,68.68,39.49
3.319,0.000,0.000,68.68,39.53
3.320,0.000,0.000,68.68,39.57
3.321,0.000,0.000,68.68,39.60
3.343,0.000,0.000,69.38,39.57
3.348,0.000,0.000,69.38,39.55
3.353,0.000,0.000,69.38,39.54
3.354,0.000,0.000,69.38,39.53
3.363,0.000,0.000,70.13,39.50
3.368,0.000,0.000,70.13,39.48
3.369,0.000,0.000,70.13,39.47
3.370,0.000,0.000,70.13,39.45
3.378,0.000,0.000,70.81,39.45
3.379,0.000,0.000,70.81,39.44
3.380,0.000,0.000,70.81,39.43
3.384,0.000,0.000,70.81,39.43
3.386,0.000,0.000,71.56,39.48
3.387,0.000,0.000,71.56,39.52
3.387,0.000,0.000,71.56,39.55
3.388,0.000,0.000,71.56,39.58
3.401,0.000,0.000,72.32,39.51
3.402,0.000,0.000,72.32,39.46
3.418,0.000,0.000,72.32,39.42
3.419,0.000,0.000,72.32,39.38
3.434,0.000,0.000,73.02,39.35
3.435,0.000,0.000,73.02,39.31
3.436,0.000,0.000,73.02,39.29
3.443,0.000,0.000,73.02,39.27
3.447,0.000,0.000,73.67,39.37
3.452,0.000,0.000,73.67,39.45
3.453,0.000,0.000,74.29,39.47
3.453,0.000,0.000,74.29,39.49
3.456,0.000,0.000,74.71,39.59
3.458,0.000,0.000,74.71,39.67
3.468,0.000,0.000,74.71,39.74
3.470,0.000,0.000,74.71,39.79
3.487,0.000,0.000,75.24,40.04
3.497,0.000,0.000,75.24,40.24
3.501,0.000,0.000,75.94,40.41
3.502,0.000,0.000,75.94,40.55
3.504,0.000,0.000,76.51,40.61
3.518,0.000,0.000,76.51,40.67
3.536,0.000,0.000,76.51,40.71
3.537,0.000,0.000,76.51,40.74
3.538,0.000,0.000,77.02,40.90
3.544,0.000,0.000,77.02,41.03
3.545,0.000,0.000,77.02,41.13
3.546,0.000,0.000,77.02,41.21
3.561,0.000,0.000,77.30,41.36
3.563,0.000,0.000,77.30,41.48
3.563,0.000,0.000,77.30,41.58
