Time(sec),Force(g),Displacement(mm),Angle(deg),Target_Force(g)
3.553,0.000,0.000,29.97,76.33
3.610,0.000,0.000,26.80,74.47
3.644,0.000,0.000,23.62,72.67
3.703,0.000,0.000,17.69,68.69
3.747,0.000,0.000,12.29,62.48
3.763,0.000,0.000,11.04,56.13
3.782,0.000,0.000,9.88,49.76
3.816,0.000,0.000,7.61,43.46
3.855,0.000,0.000,4.73,36.91
3.868,0.000,0.000,4.73,31.68
3.903,0.000,0.000,2.47,26.39
3.935,0.000,0.000,1.17,21.59
3.964,0.000,0.000,0.60,17.75
4.004,0.000,0.000,-0.92,14.68
4.041,0.000,0.000,-1.54,12.22
4.049,0.000,0.000,-1.79,10.26
4.084,0.000,0.000,-2.10,8.68
4.114,0.000,0.000,-2.23,7.43
4.149,0.000,0.000,-2.10,6.42
4.207,0.000,0.000,-1.62,5.61
4.214,0.000,0.000,-1.41,4.97
4.250,0.000,0.000,-0.85,4.46
4.263,0.000,0.000,-0.52,4.04
4.298,0.000,0.000,0.28,3.71
4.335,0.000,0.000,1.74,3.19
4.354,0.000,0.000,2.29,2.84
4.398,0.000,0.000,3.57,2.56
4.414,0.000,0.000,5.00,2.33
4.453,0.000,0.000,6.69,2.16
4.487,0.000,0.000,8.65,2.01
4.513,0.000,0.000,9.66,1.90
4.541,0.000,0.000,11.66,1.81
4.587,0.000,0.000,15.94,4.94
4.599,0.000,0.000,15.94,7.45
4.636,0.000,0.000,19.36,10.09
4.681,0.000,0.000,20.61,12.35
4.704,0.000,0.000,24.20,14.76
4.733,0.000,0.000,25.39,16.82
4.751,0.000,0.000,27.69,18.94
4.788,0.000,0.000,29.97,20.82
4.813,0.000,0.000,31.07,22.56
4.850,0.000,0.000,34.45,24.42
4.890,0.000,0.000,35.56,25.98
4.907,0.000,0.000,38.59,27.57
4.936,0.000,0.000,39.57,28.94
4.964,0.000,0.000,41.63,30.24
4.999,0.000,0.000,43.67,31.41
5.037,0.000,0.000,45.57,32.44
5.052,0.000,0.000,47.51,33.29
5.089,0.000,0.000,49.38,34.06
5.114,0.000,0.000,50.22,34.69
5.151,0.000,0.000,51.91,35.41
5.197,0.000,0.000,55.04,36.00
5.205,0.000,0.000,55.04,36.46
5.236,0.000,0.000,56.50,37.05
5.301,0.000,0.000,58.57,37.64
5.304,0.000,0.000,59.06,38.14
5.335,0.000,0.000,60.10,38.74
5.366,0.000,0.000,61.10,39.28
5.400,0.000,0.000,61.94,39.96
5.441,0.000,0.000,63.49,40.47
5.450,0.000,0.000,63.49,40.89
5.485,0.000,0.000,64.54,41.35
5.515,0.000,0.000,64.81,41.88
5.569,0.000,0.000,65.19,42.60
5.593,0.000,0.000,65.17,43.61
5.615,0.000,0.000,64.81,45.01
5.632,0.000,0.000,64.11,46.76
5.666,0.000,0.000,63.01,48.86
5.704,0.000,0.000,61.57,51.16
5.747,0.000,0.000,58.71,55.05
5.753,0.000,0.000,58.71,58.16
5.784,0.000,0.000,56.41,61.78
5.814,0.000,0.000,53.83,64.88
5.850,0.000,0.000,50.96,68.40
5.884,0.000,0.000,46.37,72.34
5.912,0.000,0.000,44.75,76.36
5.938,0.000,0.000,41.40,78.26
5.997,0.000,0.000,36.35,79.38
6.000,0.000,0.000,34.68,79.88
6.035,0.000,0.000,31.25,79.17
6.069,0.000,0.000,29.56,78.08
6.103,0.000,0.000,24.58,75.19
6.150,0.000,0.000,23.00,72.01
6.166,0.000,0.000,18.35,67.88
6.188,0.000,0.000,15.37,63.02
6.214,0.000,0.000,13.96,58.43
6.255,0.000,0.000,11.25,52.51
6.298,0.000,0.000,7.74,45.75
6.300,0.000,0.000,7.74,40.34
6.334,0.000,0.000,5.12,34.56
6.364,0.000,0.000,4.40,29.54
6.400,0.000,0.000,2.53,24.64
6.437,0.000,0.000,1.74,20.37
6.453,0.000,0.000,1.41,16.82
6.486,0.000,0.000,0.89,13.77
6.514,0.000,0.000,0.53,11.19
6.550,0.000,0.000,0.44,9.10
6.591,0.000,0.000,0.65,7.48
6.605,0.000,0.000,0.86,6.25
6.635,0.000,0.000,1.32,5.39
6.697,0.000,0.000,2.33,4.97
6.735,0.000,0.000,3.89,5.02
6.779,0.000,0.000,4.54,5.21
6.815,0.000,0.000,6.70,5.85
6.820,0.000,0.000,7.58,5.62
6.853,0.000,0.000,9.65,5.69
6.899,0.000,0.000,13.07,6.15
6.912,0.000,0.000,14.25,7.95
6.950,0.000,0.000,16.65,9.83
6.988,0.000,0.000,20.39,12.09
7.001,0.000,0.000,20.39,13.90
7.036,0.000,0.000,24.41,15.95
7.063,0.000,0.000,25.75,17.76
7.103,0.000,0.000,28.34,19.58
7.150,0.000,0.000,32.15,21.46
7.153,0.000,0.000,33.49,23.12
7.201,0.000,0.000,37.21,24.71
7.215,0.000,0.000,38.39,26.29
7.250,0.000,0.000,40.72,27.81
7.297,0.000,0.000,44.09,29.31
7.305,0.000,0.000,44.09,30.51
7.337,0.000,0.000,46.22,31.43
7.398,0.000,0.000,50.20,32.46
7.444,0.000,0.000,52.12,33.28
7.478,0.000,0.000,53.89,33.86
7.516,0.000,0.000,56.43,34.43
7.520,0.000,0.000,57.23,34.83
7.554,0.000,0.000,58.76,35.65
7.597,0.000,0.000,60.51,36.54
7.614,0.000,0.000,60.99,37.32
7.647,0.000,0.000,61.40,38.09
7.697,0.000,0.000,63.06,39.19
7.701,0.000,0.000,63.06,40.07
7.736,0.000,0.000,63.63,40.85
7.764,0.000,0.000,64.08,41.61
7.801,0.000,0.000,64.22,42.71
7.836,0.000,0.000,63.77,44.35
7.854,0.000,0.000,63.44,46.02
7.901,0.000,0.000,62.45,48.10
7.914,0.000,0.000,61.82,50.18
7.951,0.000,0.000,59.31,53.21
7.999,0.000,0.000,57.08,56.52
8.005,0.000,0.000,55.87,59.83
8.040,0.000,0.000,53.29,63.21
8.101,0.000,0.000,47.44,67.21
8.138,0.000,0.000,42.70,71.83
8.165,0.000,0.000,41.08,76.07
8.201,0.000,0.000,37.78,77.57
8.251,0.000,0.000,31.28,77.04
8.297,0.000,0.000,28.03,75.61
8.314,0.000,0.000,26.44,73.75
8.348,0.000,0.000,23.39,70.89
8.397,0.000,0.000,18.99,66.45
8.405,0.000,0.000,17.57,62.07
8.437,0.000,0.000,14.96,57.28
8.488,0.000,0.000,11.44,51.40
8.500,0.000,0.000,10.34,45.97
8.536,0.000,0.000,8.35,40.62
8.578,0.000,0.000,6.42,35.42
8.604,0.000,0.000,3.90,30.02
8.651,0.000,0.000,3.12,25.33
8.653,0.000,0.000,1.61,20.93
8.687,0.000,0.000,0.25,16.85
8.716,0.000,0.000,-0.35,13.58
8.748,0.000,0.000,-1.92,10.97
8.787,0.000,0.000,-2.87,8.87
8.801,0.000,0.000,-3.35,7.20
8.837,0.000,0.000,-3.98,5.86
8.864,0.000,0.000,-4.43,4.79
8.899,0.000,0.000,-4.79,3.94
8.936,0.000,0.000,-5.01,3.25
8.953,0.000,0.000,-5.08,2.70
8.986,0.000,0.000,-5.16,2.26
9.014,0.000,0.000,-5.18,1.91
9.047,0.000,0.000,-5.22,1.63
9.084,0.000,0.000,-5.32,1.41
9.114,0.000,0.000,-5.27,1.23
9.149,0.000,0.000,-5.22,1.08
9.188,0.000,0.000,-5.12,0.97
9.199,0.000,0.000,-5.05,0.88
9.233,0.000,0.000,-4.94,0.80
9.260,0.000,0.000,-4.91,0.75
9.287,0.000,0.000,-4.86,0.70
9.331,0.000,0.000,-4.90,0.66
9.349,0.000,0.000,-4.91,0.63
9.388,0.000,0.000,-4.90,0.61
9.411,0.000,0.000,-4.91,0.59
9.452,0.000,0.000,-4.93,0.57
9.491,0.000,0.000,-5.01,0.56
9.501,0.000,0.000,-5.01,0.55
9.534,0.000,0.000,-5.03,0.54
9.564,0.000,0.000,-5.05,0.53
9.599,0.000,0.000,-5.08,0.53
9.638,0.000,0.000,-5.09,0.53
9.653,0.000,0.000,-5.10,0.52
9.684,0.000,0.000,-5.09,0.52
9.714,0.000,0.000,-5.05,0.52
9.752,0.000,0.000,-5.00,0.52
9.797,0.000,0.000,-4.91,0.51
9.805,0.000,0.000,-4.85,0.51
9.835,0.000,0.000,-4.78,0.51
9.888,0.000,0.000,-4.68,0.51
9.898,0.000,0.000,-4.64,0.51
9.934,0.000,0.000,-4.55,0.51
9.970,0.000,0.000,-4.49,0.51
9.999,0.000,0.000,-4.34,0.51
10.038,0.000,0.000,-4.00,0.51
10.050,0.000,0.000,-3.82,0.51
10.114,0.000,0.000,-3.24,0.51
10.131,0.000,0.000,-2.48,0.51
10.157,0.000,0.000,-1.05,0.41
10.201,0.000,0.000,0.24,0.39
10.203,0.000,0.000,0.24,0.37
10.248,0.000,0.000,2.51,0.92
10.263,0.000,0.000,3.47,1.57
10.302,0.000,0.000,5.46,2.54
10.336,0.000,0.000,8.73,4.03
10.353,0.000,0.000,9.92,5.40
10.439,0.000,0.000,14.43,7.40
10.493,0.000,0.000,17.77,9.73
10.536,0.000,0.000,22.32,12.31
10.568,0.000,0.000,24.58,14.88
10.601,0.000,0.000,26.88,17.09
10.648,0.000,0.000,30.28,19.35
10.653,0.000,0.000,31.38,21.38
10.684,0.000,0.000,33.54,23.29
10.722,0.000,0.000,34.66,24.97
10.751,0.000,0.000,37.87,26.73
10.804,0.000,0.000,39.95,28.33
10.812,0.000,0.000,40.99,29.63
10.848,0.000,0.000,43.87,30.96
10.863,0.000,0.000,44.75,31.97
10.901,0.000,0.000,46.60,32.94
10.947,0.000,0.000,49.19,33.90
10.953,0.000,0.000,49.19,34.67
10.985,0.000,0.000,50.75,35.38
11.014,0.000,0.000,52.31,36.07
11.050,0.000,0.000,53.88,36.65
11.083,0.000,0.000,55.96,37.17
11.128,0.000,0.000,56.65,37.63
11.154,0.000,0.000,58.65,38.08
11.183,0.000,0.000,59.46,38.67
11.202,0.000,0.000,59.97,39.24
11.246,0.000,0.000,61.06,39.72
11.259,0.000,0.000,61.59,40.25
11.287,0.000,0.000,62.72,40.49
11.349,0.000,0.000,64.48,40.88
11.352,0.000,0.000,64.48,41.19
11.385,0.000,0.000,64.96,41.79
11.418,0.000,0.000,65.09,42.73
11.449,0.000,0.000,64.83,44.09
11.500,0.000,0.000,63.61,46.49
11.503,0.000,0.000,63.03,48.81
11.555,0.000,0.000,61.62,51.46
11.565,0.000,0.000,60.72,54.05
11.600,0.000,0.000,57.53,57.39
11.648,0.000,0.000,55.09,61.05
11.654,0.000,0.000,53.79,64.19
11.685,0.000,0.000,51.04,67.14
11.714,0.000,0.000,48.06,71.09
11.747,0.000,0.000,45.03,74.27
11.785,0.000,0.000,41.86,76.19
11.805,0.000,0.000,38.73,77.87
11.838,0.000,0.000,35.66,78.12
11.887,0.000,0.000,30.88,76.81
11.898,0.000,0.000,30.88,75.77
11.935,0.000,0.000,26.31,73.53
11.982,0.000,0.000,24.75,71.26
12.017,0.000,0.000,18.82,66.78
12.021,0.000,0.000,18.82,63.20
12.054,0.000,0.000,16.13,58.64
12.089,0.000,0.000,13.55,53.48
12.113,0.000,0.000,11.05,48.37
12.152,0.000,0.000,8.86,42.99
12.198,0.000,0.000,5.95,37.08
12.201,0.000,0.000,5.95,32.35
12.236,0.000,0.000,3.61,27.40
12.263,0.000,0.000,2.96,23.15
12.298,0.000,0.000,1.81,19.24
12.335,0.000,0.000,0.62,16.11
12.353,0.000,0.000,0.32,13.60
12.398,0.000,0.000,-0.18,11.60
12.414,0.000,0.000,-0.23,9.99
12.452,0.000,0.000,-0.32,8.71
12.499,0.000,0.000,-0.21,7.69
12.505,0.000,0.000,-0.21,6.87
12.535,0.000,0.000,0.05,6.21
12.588,0.000,0.000,0.97,5.68
12.598,0.000,0.000,0.97,5.26
12.635,0.000,0.000,2.16,4.48
12.666,0.000,0.000,2.69,3.92
12.697,0.000,0.000,3.90,3.63
12.749,0.000,0.000,6.37,3.70
12.767,0.000,0.000,7.29,3.87
12.797,0.000,0.000,9.17,4.23
12.815,0.000,0.000,10.19,4.64
12.854,0.000,0.000,13.53,5.36
12.884,0.000,0.000,15.86,7.70
12.904,0.000,0.000,17.11,9.77
12.950,0.000,0.000,20.93,12.10
12.964,0.000,0.000,22.28,14.15
13.000,0.000,0.000,24.91,16.22
13.048,0.000,0.000,28.61,18.50
13.053,0.000,0.000,29.87,20.45
13.086,0.000,0.000,32.52,22.34
13.138,0.000,0.000,33.78,23.93
13.152,0.000,0.000,37.53,25.53
13.201,0.000,0.000,41.11,27.20
13.205,0.000,0.000,41.11,28.53
13.247,0.000,0.000,44.44,29.88
13.286,0.000,0.000,46.48,31.03
13.302,0.000,0.000,47.44,32.05
13.337,0.000,0.000,49.33,32.95
13.361,0.000,0.000,51.01,33.75
13.388,0.000,0.000,52.57,34.62
13.448,0.000,0.000,54.73,35.56
13.450,0.000,0.000,55.39,36.31
13.486,0.000,0.000,56.64,37.09
13.521,0.000,0.000,57.32,37.68
13.549,0.000,0.000,58.93,38.39
13.592,0.000,0.000,59.92,39.09
13.602,0.000,0.000,60.34,39.73
13.649,0.000,0.000,61.36,40.56
13.663,0.000,0.000,61.64,41.29
13.699,0.000,0.000,62.22,41.84
13.750,0.000,0.000,62.36,42.75
13.753,0.000,0.000,62.36,43.48
13.788,0.000,0.000,61.97,45.06
13.814,0.000,0.000,61.67,46.58
13.850,0.000,0.000,60.84,48.31
13.896,0.000,0.000,59.02,50.70
13.905,0.000,0.000,58.23,53.02
13.941,0.000,0.000,56.34,55.66
13.990,0.000,0.000,53.06,59.22
14.000,0.000,0.000,51.84,62.54
14.035,0.000,0.000,49.27,65.82
14.064,0.000,0.000,47.94,68.66
14.097,0.000,0.000,43.67,70.88
14.136,0.000,0.000,40.74,73.41
14.150,0.000,0.000,39.23,75.24
14.198,0.000,0.000,34.77,75.29
14.214,0.000,0.000,33.29,75.28
14.249,0.000,0.000,30.36,73.89
14.300,0.000,0.000,26.02,71.32
14.304,0.000,0.000,24.63,68.86
14.336,0.000,0.000,21.92,65.63
14.368,0.000,0.000,20.60,62.79
14.398,0.000,0.000,18.04,58.87
14.452,0.000,0.000,14.39,54.00
14.457,0.000,0.000,13.23,49.71
14.503,0.000,0.000,9.90,44.38
14.514,0.000,0.000,8.86,39.84
14.549,0.000,0.000,6.91,35.12
14.588,0.000,0.000,4.16,29.92
14.605,0.000,0.000,3.27,25.37
14.635,0.000,0.000,1.61,20.99
14.700,0.000,0.000,-0.76,16.79
14.737,0.000,0.000,-2.98,13.43
14.767,0.000,0.000,-3.69,10.74
14.798,0.000,0.000,-5.51,8.60
14.849,0.000,0.000,-6.90,6.88
14.852,0.000,0.000,-6.90,5.50
14.898,0.000,0.000,-7.87,4.40
14.913,0.000,0.000,-8.04,3.52
14.949,0.000,0.000,-8.17,2.82
15.014,0.000,0.000,-8.36,2.25
15.017,0.000,0.000,-8.39,1.80
15.049,0.000,0.000,-8.20,1.44
15.062,0.000,0.000,-7.95,1.15
15.103,0.000,0.000,-7.57,0.92
15.149,0.000,0.000,-7.34,0.74
15.153,0.000,0.000,-7.27,0.59
15.225,0.000,0.000,-7.13,0.47
15.236,0.000,0.000,-7.04,0.38
15.266,0.000,0.000,-7.07,0.30
15.301,0.000,0.000,-6.99,0.24
15.305,0.000,0.000,-6.99,0.19
15.348,0.000,0.000,-6.85,0.15
15.386,0.000,0.000,-6.68,0.12
15.399,0.000,0.000,-6.68,0.10
15.447,0.000,0.000,-6.36,0.08
15.457,0.000,0.000,-6.24,0.06
15.487,0.000,0.000,-5.96,0.05
15.548,0.000,0.000,-5.53,0.04
15.551,0.000,0.000,-5.40,0.03
15.587,0.000,0.000,-5.18,0.03
15.613,0.000,0.000,-5.03,0.02
15.643,0.000,0.000,-4.69,0.02
15.702,0.000,0.000,-3.93,0.01
15.705,0.000,0.000,-3.93,0.01
15.751,0.000,0.000,-3.15,0.01
15.764,0.000,0.000,-2.89,0.01
15.799,0.000,0.000,-2.55,0.01
15.864,0.000,0.000,-1.97,0.00
15.867,0.000,0.000,-1.73,0.00
15.899,0.000,0.000,-1.40,0.00
15.914,0.000,0.000,-1.17,0.00
15.948,0.000,0.000,-0.79,0.00
16.011,0.000,0.000,-0.25,0.00
16.018,0.000,0.000,-0.07,0.00
16.049,0.000,0.000,0.46,0.06
16.102,0.000,0.000,1.81,0.27
16.148,0.000,0.000,3.89,0.71
16.157,0.000,0.000,4.78,1.16
16.200,0.000,0.000,7.16,1.82
16.248,0.000,0.000,10.78,2.79
16.250,0.000,0.000,12.10,3.71
16.287,0.000,0.000,14.55,4.74
16.315,0.000,0.000,15.78,5.69
16.350,0.000,0.000,19.13,6.82
16.398,0.000,0.000,22.33,8.03
16.401,0.000,0.000,22.33,9.01
16.437,0.000,0.000,24.14,9.96
16.470,0.000,0.000,25.88,10.87
16.499,0.000,0.000,27.26,11.72
16.564,0.000,0.000,28.81,12.52
16.581,0.000,0.000,29.15,13.19
16.597,0.000,0.000,29.76,13.77
16.621,0.000,0.000,30.27,14.27
16.664,0.000,0.000,30.67,14.70
16.689,0.000,0.000,30.91,15.06
16.705,0.000,0.000,30.94,15.35
16.750,0.000,0.000,30.91,15.59
16.798,0.000,0.000,30.79,15.89
16.837,0.000,0.000,30.47,16.55
16.864,0.000,0.000,30.32,17.26
16.900,0.000,0.000,29.91,17.83
16.948,0.000,0.000,29.66,18.18
16.986,0.000,0.000,29.48,18.12
17.014,0.000,0.000,29.49,17.95
17.051,0.000,0.000,29.53,17.64
17.098,0.000,0.000,29.81,17.33
17.101,0.000,0.000,29.91,17.09
17.147,0.000,0.000,30.05,16.91
17.164,0.000,0.000,30.09,16.77
17.199,0.000,0.000,30.19,16.67
17.250,0.000,0.000,30.35,16.60
17.252,0.000,0.000,30.35,16.54
17.344,0.000,0.000,30.81,16.53
17.399,0.000,0.000,30.93,16.52
17.439,0.000,0.000,30.96,16.52
17.486,0.000,0.000,30.50,17.84
17.497,0.000,0.000,30.50,18.89
17.567,0.000,0.000,29.14,20.11
17.568,0.000,0.000,28.75,21.39
17.598,0.000,0.000,27.83,22.64
17.650,0.000,0.000,26.28,23.77
17.697,0.000,0.000,24.59,24.71
17.714,0.000,0.000,23.95,26.06
17.750,0.000,0.000,22.54,26.83
17.797,0.000,0.000,20.37,27.02
17.803,0.000,0.000,19.62,27.28
17.838,0.000,0.000,17.93,27.14
17.864,0.000,0.000,17.00,26.81
17.914,0.000,0.000,15.21,26.04
17.953,0.000,0.000,12.40,24.63
17.965,0.000,0.000,11.45,23.23
18.008,0.000,0.000,8.56,21.24
18.016,0.000,0.000,7.59,19.35
18.057,0.000,0.000,5.79,17.29
18.100,0.000,0.000,3.42,14.90
18.107,0.000,0.000,3.42,13.00
18.148,0.000,0.000,1.73,11.47
18.204,0.000,0.000,0.37,10.25
18.217,0.000,0.000,-0.02,9.27
18.248,0.000,0.000,-0.77,8.49
18.263,0.000,0.000,-1.10,7.86
18.300,0.000,0.000,-2.10,7.36
18.348,0.000,0.000,-2.60,6.96
18.397,0.000,0.000,-2.86,6.64
18.409,0.000,0.000,-2.86,6.39
18.451,0.000,0.000,-2.83,6.18
18.530,0.000,0.000,-2.57,6.02
18.536,0.000,0.000,-2.38,5.89
18.567,0.000,0.000,-2.12,5.78
18.599,0.000,0.000,-1.87,5.70
18.649,0.000,0.000,-1.28,5.63
18.663,0.000,0.000,-1.02,5.58
18.704,0.000,0.000,-0.39,5.54
18.747,0.000,0.000,0.57,5.50
18.750,0.000,0.000,1.04,5.47
18.785,0.000,0.000,2.30,5.45
18.815,0.000,0.000,2.98,5.43
18.850,0.000,0.000,4.56,5.42
18.904,0.000,0.000,8.64,5.41
18.914,0.000,0.000,9.67,5.40
18.950,0.000,0.000,11.65,5.39
18.961,0.000,0.000,12.67,5.86
19.020,0.000,0.000,14.84,6.49
19.038,0.000,0.000,16.82,7.21
19.054,0.000,0.000,18.56,7.97
19.112,0.000,0.000,21.05,8.83
19.118,0.000,0.000,21.86,9.60
19.150,0.000,0.000,22.70,10.30
19.202,0.000,0.000,24.73,11.04
19.206,0.000,0.000,25.30,11.69
19.248,0.000,0.000,27.04,12.35
19.285,0.000,0.000,28.02,12.97
19.299,0.000,0.000,28.44,13.49
19.348,0.000,0.000,29.59,14.00
19.363,0.000,0.000,29.97,14.43
19.388,0.000,0.000,30.62,14.83
19.438,0.000,0.000,31.31,15.19
19.450,0.000,0.000,31.31,15.48
19.486,0.000,0.000,31.74,15.75
19.521,0.000,0.000,31.87,15.97
19.548,0.000,0.000,32.07,16.15
19.599,0.000,0.000,32.31,16.32
19.602,0.000,0.000,32.31,16.46
19.638,0.000,0.000,32.61,16.58
19.665,0.000,0.000,32.90,16.70
19.695,0.000,0.000,33.08,16.81
19.746,0.000,0.000,33.24,16.91
19.753,0.000,0.000,33.24,16.98
19.785,0.000,0.000,33.37,17.05
19.813,0.000,0.000,33.44,17.11
19.850,0.000,0.000,33.49,17.16
19.886,0.000,0.000,33.68,17.22
19.906,0.000,0.000,33.80,17.27
19.954,0.000,0.000,33.94,17.31
19.965,0.000,0.000,34.17,17.37
19.999,0.000,0.000,34.48,17.43
20.042,0.000,0.000,34.67,17.49
20.070,0.000,0.000,34.71,17.54
20.107,0.000,0.000,34.78,17.58
20.135,0.000,0.000,34.77,17.62
20.153,0.000,0.000,34.76,17.64
20.187,0.000,0.000,34.65,17.82
20.217,0.000,0.000,34.54,18.10
20.249,0.000,0.000,34.14,18.74
20.299,0.000,0.000,33.35,19.99
20.302,0.000,0.000,33.02,21.21
20.348,0.000,0.000,32.22,22.38
20.366,0.000,0.000,31.78,23.70
20.399,0.000,0.000,30.29,25.10
20.448,0.000,0.000,28.49,26.62
20.453,0.000,0.000,28.49,27.84
20.486,0.000,0.000,27.01,29.27
20.513,0.000,0.000,25.47,30.59
20.549,0.000,0.000,23.78,31.23
20.597,0.000,0.000,21.00,31.11
20.605,0.000,0.000,19.96,30.76
20.637,0.000,0.000,17.94,29.95
20.698,0.000,0.000,14.83,28.45
20.701,0.000,0.000,13.68,26.93
20.736,0.000,0.000,11.63,25.12
20.765,0.000,0.000,10.62,23.37
20.800,0.000,0.000,7.69,21.09
20.850,0.000,0.000,4.94,18.41
20.854,0.000,0.000,4.94,16.27
20.886,0.000,0.000,3.45,14.10
20.929,0.000,0.000,2.18,11.97
20.953,0.000,0.000,1.01,10.26
21.000,0.000,0.000,-0.44,8.89
21.004,0.000,0.000,-0.81,7.80
21.047,0.000,0.000,-1.32,6.92
21.062,0.000,0.000,-1.39,6.22
21.101,0.000,0.000,-1.42,5.66
21.154,0.000,0.000,-1.14,4.53
21.159,0.000,0.000,-1.05,3.63
21.190,0.000,0.000,-0.87,2.90
21.231,0.000,0.000,-0.60,2.32
21.255,0.000,0.000,-0.26,1.86
21.286,0.000,0.000,0.24,1.52
21.310,0.000,0.000,0.59,1.29
21.349,0.000,0.000,1.81,1.26
21.371,0.000,0.000,2.88,1.37
21.401,0.000,0.000,3.48,1.53
21.454,0.000,0.000,5.68,1.93
21.462,0.000,0.000,6.38,2.34
