Time(sec),Force(g),Displacement(mm),Angle(deg),Target_Force(g)
0.035,0.000,0.000,-3.89,0.00
0.053,0.000,0.000,-4.00,0.00
0.102,0.000,0.000,-4.11,0.00
0.115,0.000,0.000,-4.13,0.00
0.151,0.000,0.000,-4.23,0.00
0.201,0.000,0.000,-4.30,0.00
0.204,0.000,0.000,-4.36,0.00
0.235,0.000,0.000,-4.48,0.00
0.271,0.000,0.000,-4.64,0.00
0.300,0.000,0.000,-4.73,0.00
0.334,0.000,0.000,-5.07,0.00
0.365,0.000,0.000,-5.17,0.00
0.388,0.000,0.000,-5.41,0.00
0.443,0.000,0.000,-5.79,0.00
0.453,0.000,0.000,-5.94,0.00
0.488,0.000,0.000,-6.24,0.00
0.514,0.000,0.000,-6.57,0.00
0.548,0.000,0.000,-6.89,0.00
0.588,0.000,0.000,-7.39,0.00
0.601,0.000,0.000,-7.39,0.00
0.636,0.000,0.000,-7.88,0.00
0.666,0.000,0.000,-8.00,0.00
0.699,0.000,0.000,-8.24,0.00
0.738,0.000,0.000,-8.62,0.00
0.753,0.000,0.000,-8.75,0.00
0.812,0.000,0.000,-8.97,0.00
0.817,0.000,0.000,-9.27,0.00
0.851,0.000,0.000,-9.49,0.00
0.886,0.000,0.000,-9.72,0.00
0.912,0.000,0.000,-9.85,0.00
0.949,0.000,0.000,-10.25,0.00
0.971,0.000,0.000,-10.41,0.00
1.001,0.000,0.000,-10.47,0.00
1.053,0.000,0.000,-10.69,0.00
1.064,0.000,0.000,-10.77,0.00
1.118,0.000,0.000,-10.92,0.00
1.133,0.000,0.000,-11.05,0.00
1.170,0.000,0.000,-11.15,0.00
1.199,0.000,0.000,-11.20,0.00
1.235,0.000,0.000,-11.19,0.00
1.268,0.000,0.000,-11.16,0.00
1.301,0.000,0.000,-11.10,0.00
1.353,0.000,0.000,-11.02,0.00
1.362,0.000,0.000,-10.89,0.00
1.403,0.000,0.000,-10.71,0.00
1.449,0.000,0.000,-10.33,0.00
1.453,0.000,0.000,-10.19,0.00
1.490,0.000,0.000,-9.86,0.00
1.514,0.000,0.000,-9.67,0.00
1.554,0.000,0.000,-9.25,0.00
1.586,0.000,0.000,-8.63,0.00
1.606,0.000,0.000,-8.39,0.00
1.636,0.000,0.000,-7.92,0.00
1.687,0.000,0.000,-6.94,0.00
1.698,0.000,0.000,-6.57,0.00
1.733,0.000,0.000,-5.66,0.00
1.764,0.000,0.000,-4.69,0.00
1.795,0.000,0.000,-3.57,0.00
1.833,0.000,0.000,-2.45,0.00
1.850,0.000,0.000,-1.75,0.00
1.888,0.000,0.000,0.63,0.00
1.915,0.000,0.000,1.55,0.00
1.967,0.000,0.000,3.50,0.00
1.979,0.000,0.000,5.55,0.00
2.002,0.000,0.000,7.67,0.00
2.048,0.000,0.000,11.05,2.43
2.068,0.000,0.000,12.25,4.62
2.100,0.000,0.000,14.64,6.84
2.138,0.000,0.000,16.80,9.10
2.153,0.000,0.000,17.85,11.00
2.197,0.000,0.000,20.77,13.20
2.214,0.000,0.000,21.71,15.05
2.249,0.000,0.000,23.83,17.08
2.286,0.000,0.000,26.74,19.15
2.305,0.000,0.000,27.64,20.92
2.335,0.000,0.000,29.53,22.67
2.387,0.000,0.000,32.22,24.58
2.399,0.000,0.000,32.99,26.13
2.432,0.000,0.000,34.65,27.64
2.468,0.000,0.000,35.40,28.97
2.497,0.000,0.000,37.78,30.31
2.537,0.000,0.000,39.43,31.60
2.553,0.000,0.000,40.24,32.60
2.590,0.000,0.000,42.58,33.59
2.611,0.000,0.000,43.34,34.33
2.650,0.000,0.000,44.78,35.19
2.682,0.000,0.000,46.94,36.02
2.701,0.000,0.000,47.63,36.68
2.735,0.000,0.000,49.07,37.27
2.761,0.000,0.000,49.76,37.73
2.800,0.000,0.000,50.96,38.19
2.834,0.000,0.000,52.85,38.75
2.853,0.000,0.000,53.53,39.02
2.904,0.000,0.000,54.80,39.31
2.914,0.000,0.000,56.22,39.31
2.952,0.000,0.000,57.53,39.41
2.984,0.000,0.000,58.71,39.60
3.005,0.000,0.000,59.83,39.91
3.039,0.000,0.000,60.74,40.33
3.098,0.000,0.000,61.33,40.93
3.102,0.000,0.000,61.58,41.85
3.152,0.000,0.000,61.45,43.15
3.158,0.000,0.000,61.21,44.64
3.187,0.000,0.000,60.38,46.59
3.238,0.000,0.000,58.37,49.37
3.257,0.000,0.000,57.52,52.72
3.287,0.000,0.000,55.58,56.00
3.314,0.000,0.000,53.30,60.34
3.349,0.000,0.000,50.66,64.03
3.388,0.000,0.000,46.34,67.57
3.401,0.000,0.000,46.34,70.40
3.437,0.000,0.000,41.54,73.35
3.465,0.000,0.000,39.91,75.68
3.507,0.000,0.000,36.61,77.19
3.547,0.000,0.000,31.59,76.67
