Time(sec),Force(g),Displacement(mm),Angle(deg),Target_Force(g)
0.010,0.000,0.000,0.93,0.00
0.018,0.000,0.000,0.93,0.00
0.026,0.000,0.000,0.93,0.00
0.032,0.000,0.000,0.93,0.00
0.037,0.000,0.000,0.97,0.00
0.043,0.000,0.000,0.97,0.00
0.059,0.000,0.000,1.23,0.00
0.060,0.000,0.000,1.23,0.00
0.076,0.000,0.000,1.62,0.00
0.077,0.000,0.000,1.62,0.00
0.083,0.000,0.000,1.79,0.00
0.084,0.000,0.000,1.79,0.00
0.085,0.000,0.000,1.79,0.00
0.086,0.000,0.000,1.79,0.00
0.099,0.000,0.000,2.04,0.00
0.100,0.000,0.000,2.04,0.00
0.116,0.000,0.000,2.29,0.00
0.117,0.000,0.000,2.29,0.00
0.124,0.000,0.000,2.62,0.00
0.125,0.000,0.000,2.62,0.00
0.126,0.000,0.000,2.62,0.00
0.127,0.000,0.000,2.62,0.00
0.151,0.000,0.000,2.95,0.00
0.152,0.000,0.000,2.95,0.00
0.154,0.000,0.000,2.95,0.00
0.157,0.000,0.000,2.95,0.00
0.160,0.000,0.000,3.30,0.00
0.161,0.000,0.000,3.30,0.00
0.184,0.000,0.000,3.55,0.00
0.185,0.000,0.000,3.55,0.00
0.185,0.000,0.000,3.55,0.00
0.191,0.000,0.000,3.55,0.00
0.194,0.000,0.000,3.79,0.00
0.194,0.000,0.000,3.79,0.00
0.195,0.000,0.000,3.79,0.00
0.196,0.000,0.000,3.79,0.00
0.198,0.000,0.000,4.00,0.00
0.198,0.000,0.000,4.00,0.00
0.203,0.000,0.000,4.00,0.00
0.206,0.000,0.000,4.00,0.00
0.208,0.000,0.000,4.00,0.00
0.209,0.000,0.000,4.00,0.00
0.234,0.000,0.000,4.13,0.00
0.235,0.000,0.000,4.13,0.00
0.236,0.000,0.000,4.13,0.00
0.237,0.000,0.000,4.13,0.00
0.242,0.000,0.000,4.17,0.00
0.243,0.000,0.000,4.17,0.00
0.246,0.000,0.000,4.25,0.00
0.247,0.000,0.000,4.25,0.00
0.247,0.000,0.000,4.25,0.00
0.248,0.000,0.000,4.25,0.00
0.253,0.000,0.000,4.25,0.00
0.256,0.000,0.000,4.25,0.00
0.278,0.000,0.000,4.34,0.00
0.286,0.000,0.000,4.34,0.00
0.289,0.000,0.000,4.34,0.00
0.291,0.000,0.000,4.34,0.00
0.296,0.000,0.000,4.39,0.00
0.300,0.000,0.000,4.39,0.00
0.303,0.000,0.000,4.39,0.00
0.306,0.000,0.000,4.39,0.00
0.307,0.000,0.000,4.44,0.00
0.307,0.000,0.000,4.44,0.00
0.310,0.000,0.000,4.44,0.00
0.311,0.000,0.000,4.44,0.00
0.312,0.000,0.000,4.55,0.00
0.316,0.000,0.000,4.55,0.00
0.317,0.000,0.000,4.55,0.00
0.318,0.000,0.000,4.55,0.00
0.341,0.000,0.000,4.66,0.00
0.342,0.000,0.000,4.66,0.00
0.345,0.000,0.000,4.81,0.00
0.346,0.000,0.000,4.81,0.00
0.347,0.000,0.000,4.81,0.00
0.348,0.000,0.000,4.81,0.00
0.359,0.000,0.000,4.94,0.00
0.360,0.000,0.000,4.94,0.00
0.385,0.000,0.000,5.16,0.00
0.386,0.000,0.000,5.16,0.00
0.386,0.000,0.000,5.16,0.00
0.387,0.000,0.000,5.16,0.00
0.392,0.000,0.000,5.33,0.00
0.394,0.000,0.000,5.33,0.00
0.406,0.000,0.000,5.52,0.00
0.408,0.000,0.000,5.52,0.00
0.409,0.000,0.000,5.52,0.00
0.410,0.000,0.000,5.52,0.00
0.434,0.000,0.000,5.66,0.00
0.435,0.000,0.000,5.66,0.00
0.440,0.000,0.000,5.79,0.00
0.442,0.000,0.000,5.79,0.00
0.455,0.000,0.000,5.90,0.00
0.457,0.000,0.000,5.90,0.00
0.459,0.000,0.000,5.90,0.00
0.460,0.000,0.000,5.90,0.00
0.482,0.000,0.000,6.04,0.00
0.483,0.000,0.000,6.04,0.00
0.484,0.000,0.000,6.04,0.00
0.485,0.000,0.000,6.04,0.00
0.490,0.000,0.000,6.18,0.00
0.493,0.000,0.000,6.18,0.00
0.494,0.000,0.000,6.18,0.00
0.495,0.000,0.000,6.18,0.00
0.503,0.000,0.000,6.24,0.00
0.504,0.000,0.000,6.24,0.00
0.506,0.000,0.000,6.24,0.00
0.507,0.000,0.000,6.24,0.00
0.532,0.000,0.000,6.32,0.00
0.533,0.000,0.000,6.32,0.00
0.536,0.000,0.000,6.44,0.00
0.537,0.000,0.000,6.44,0.00
0.538,0.000,0.000,6.44,0.00
0.541,0.000,0.000,6.44,0.00
0.550,0.000,0.000,6.52,0.00
0.551,0.000,0.000,6.52,0.00
0.552,0.000,0.000,6.52,0.00
0.553,0.000,0.000,6.52,0.00
0.575,0.000,0.000,6.81,0.00
0.576,0.000,0.000,6.81,0.00
0.588,0.000,0.000,6.81,0.00
0.591,0.000,0.000,6.81,0.00
0.593,0.000,0.000,7.16,0.00
0.594,0.000,0.000,7.16,0.00
0.600,0.000,0.000,7.70,0.00
0.601,0.000,0.000,7.70,0.00
0.602,0.000,0.000,7.70,0.00
0.605,0.000,0.000,7.70,0.00
0.628,0.000,0.000,8.27,0.00
0.629,0.000,0.000,8.27,0.00
0.635,0.000,0.000,8.82,0.00
0.636,0.000,0.000,8.82,0.00
0.637,0.000,0.000,8.82,0.00
0.638,0.000,0.000,8.82,0.00
0.646,0.000,0.000,9.34,0.00
0.650,0.000,0.000,9.34,0.00
0.651,0.000,0.000,9.34,0.00
0.652,0.000,0.000,9.34,0.00
0.682,0.000,0.000,9.95,0.00
0.683,0.000,0.000,9.95,0.00
0.684,0.000,0.000,9.95,0.00
0.685,0.000,0.000,9.95,0.00
0.692,0.000,0.000,10.71,0.00
0.693,0.000,0.000,10.71,0.00
0.694,0.000,0.000,11.44,0.00
0.695,0.000,0.000,11.44,4.23
0.696,0.000,0.000,11.44,7.19
0.701,0.000,0.000,11.44,9.26
0.711,0.000,0.000,12.10,10.96
