Time(sec),Force(g),Displacement(mm),Angle(deg),Target_Force(g)
0.009,0.000,0.000,99.05,49.76
0.009,0.000,0.000,99.05,49.76
0.025,0.000,0.000,99.00,49.96
0.025,0.000,0.000,99.00,49.96
0.050,0.000,0.000,98.96,50.14
0.050,0.000,0.000,98.96,50.14
0.058,0.000,0.000,98.88,50.47
0.058,0.000,0.000,98.88,50.47
0.073,0.000,0.000,98.84,50.58
0.073,0.000,0.000,98.84,50.58
0.090,0.000,0.000,98.80,50.65
0.090,0.000,0.000,98.80,50.65
0.105,0.000,0.000,98.75,50.65
0.105,0.000,0.000,98.75,50.65
0.121,0.000,0.000,98.72,50.65
0.121,0.000,0.000,98.72,50.65
0.140,0.000,0.000,98.72,50.33
0.140,0.000,0.000,98.72,50.33
0.152,0.000,0.000,98.72,50.19
0.152,0.000,0.000,98.72,50.19
0.169,0.000,0.000,98.71,50.07
0.169,0.000,0.000,98.71,50.07
0.189,0.000,0.000,98.69,49.99
0.189,0.000,0.000,98.69,49.99
0.201,0.000,0.000,98.67,49.93
0.201,0.000,0.000,98.67,49.93
0.217,0.000,0.000,98.62,50.08
0.217,0.000,0.000,98.62,50.08
0.237,0.000,0.000,98.51,50.44
0.237,0.000,0.000,98.51,50.44
0.248,0.000,0.000,98.32,51.20
0.248,0.000,0.000,98.32,51.20
0.265,0.000,0.000,98.12,51.83
0.265,0.000,0.000,98.12,51.83
0.288,0.000,0.000,97.93,52.39
0.288,0.000,0.000,97.93,52.39
0.296,0.000,0.000,97.74,53.06
0.296,0.000,0.000,97.74,53.06
0.312,0.000,0.000,97.46,53.73
0.312,0.000,0.000,97.46,53.73
0.339,0.000,0.000,97.13,54.07
0.339,0.000,0.000,97.13,54.07
0.351,0.000,0.000,96.75,54.95
0.351,0.000,0.000,96.75,54.95
0.361,0.000,0.000,96.26,56.13
0.361,0.000,0.000,96.26,56.13
0.383,0.000,0.000,95.86,56.95
0.383,0.000,0.000,95.86,56.95
0.392,0.000,0.000,95.52,57.23
0.392,0.000,0.000,95.52,57.23
0.409,0.000,0.000,95.11,57.62
0.409,0.000,0.000,95.11,57.62
0.426,0.000,0.000,94.76,57.38
0.426,0.000,0.000,94.76,57.38
0.441,0.000,0.000,94.53,56.40
0.441,0.000,0.000,94.53,56.40
0.457,0.000,0.000,94.32,55.52
0.457,0.000,0.000,94.32,55.52
0.473,0.000,0.000,94.15,54.80
0.473,0.000,0.000,94.15,54.80
0.490,0.000,0.000,93.93,54.10
0.490,0.000,0.000,93.93,54.10
0.504,0.000,0.000,93.67,53.81
0.504,0.000,0.000,93.67,53.81
0.521,0.000,0.000,93.43,53.83
0.521,0.000,0.000,93.43,53.83
0.565,0.000,0.000,93.28,53.40
0.565,0.000,0.000,93.28,53.40
0.565,0.000,0.000,93.26,52.93
0.565,0.000,0.000,93.26,52.93
0.569,0.000,0.000,93.23,52.24
0.569,0.000,0.000,93.23,52.24
0.601,0.000,0.000,93.13,51.50
0.601,0.000,0.000,93.13,51.50
0.602,0.000,0.000,92.96,51.38
0.602,0.000,0.000,92.96,51.38
0.617,0.000,0.000,92.78,51.69
0.617,0.000,0.000,92.78,51.69
0.639,0.000,0.000,92.67,51.95
0.639,0.000,0.000,92.67,51.95
0.649,0.000,0.000,92.70,51.73
0.649,0.000,0.000,92.70,51.73
0.665,0.000,0.000,92.91,50.64
0.665,0.000,0.000,92.91,50.64
0.687,0.000,0.000,93.02,49.57
0.687,0.000,0.000,93.02,49.57
0.697,0.000,0.000,93.10,48.68
0.697,0.000,0.000,93.10,48.68
0.713,0.000,0.000,93.13,48.21
0.713,0.000,0.000,93.13,48.21
0.739,0.000,0.000,93.13,48.27
0.739,0.000,0.000,93.13,48.27
0.745,0.000,0.000,93.11,49.08
0.745,0.000,0.000,93.11,49.08
0.762,0.000,0.000,93.10,49.47
0.762,0.000,0.000,93.10,49.47
0.798,0.000,0.000,93.04,49.94
0.798,0.000,0.000,93.04,49.94
0.811,0.000,0.000,93.07,49.97
0.811,0.000,0.000,93.07,49.97
0.813,0.000,0.000,93.15,49.67
0.813,0.000,0.000,93.15,49.67
0.832,0.000,0.000,93.31,48.93
0.832,0.000,0.000,93.31,48.93
0.841,0.000,0.000,93.48,48.31
0.841,0.000,0.000,93.48,48.31
0.857,0.000,0.000,93.64,47.59
0.857,0.000,0.000,93.64,47.59
0.873,0.000,0.000,93.76,47.29
0.873,0.000,0.000,93.76,47.29
0.889,0.000,0.000,93.79,47.49
0.889,0.000,0.000,93.79,47.49
0.904,0.000,0.000,93.79,48.11
0.904,0.000,0.000,93.79,48.11
0.921,0.000,0.000,93.70,48.97
0.921,0.000,0.000,93.70,48.97
0.941,0.000,0.000,93.58,49.89
0.941,0.000,0.000,93.58,49.89
0.954,0.000,0.000,93.50,50.65
0.954,0.000,0.000,93.50,50.65
0.969,0.000,0.000,93.51,50.71
0.969,0.000,0.000,93.51,50.71
1.012,0.000,0.000,93.53,50.67
1.012,0.000,0.000,93.53,50.67
1.012,0.000,0.000,93.43,51.04
1.012,0.000,0.000,93.43,51.04
1.016,0.000,0.000,93.25,51.41
1.017,0.000,0.000,93.25,51.41
1.037,0.000,0.000,93.11,51.52
1.037,0.000,0.000,93.11,51.52
1.048,0.000,0.000,92.99,52.04
1.048,0.000,0.000,92.99,52.04
1.064,0.000,0.000,92.92,52.35
1.064,0.000,0.000,92.92,52.35
1.088,0.000,0.000,92.74,52.29
1.088,0.000,0.000,92.74,52.29
1.097,0.000,0.000,92.50,52.45
1.097,0.000,0.000,92.50,52.45
1.112,0.000,0.000,92.22,53.06
1.112,0.000,0.000,92.22,53.06
1.134,0.000,0.000,91.87,53.93
1.134,0.000,0.000,91.87,53.93
1.144,0.000,0.000,91.63,54.57
1.144,0.000,0.000,91.63,54.57
1.161,0.000,0.000,91.36,54.95
1.161,0.000,0.000,91.36,54.95
1.183,0.000,0.000,91.13,54.87
1.183,0.000,0.000,91.13,54.87
1.193,0.000,0.000,90.94,54.47
1.193,0.000,0.000,90.94,54.47
1.208,0.000,0.000,90.66,54.23
1.208,0.000,0.000,90.66,54.23
1.232,0.000,0.000,90.41,54.22
1.232,0.000,0.000,90.41,54.22
1.241,0.000,0.000,90.15,54.33
1.241,0.000,0.000,90.15,54.33
1.257,0.000,0.000,89.84,54.61
1.257,0.000,0.000,89.84,54.61
1.272,0.000,0.000,89.60,54.83
1.272,0.000,0.000,89.60,54.83
1.289,0.000,0.000,89.36,54.58
1.289,0.000,0.000,89.36,54.58
1.304,0.000,0.000,89.09,54.76
1.304,0.000,0.000,89.09,54.76
1.321,0.000,0.000,88.80,54.70
1.321,0.000,0.000,88.80,54.70
1.338,0.000,0.000,88.58,54.40
1.338,0.000,0.000,88.58,54.40
1.353,0.000,0.000,88.37,54.27
1.353,0.000,0.000,88.37,54.27
1.368,0.000,0.000,88.14,54.30
1.368,0.000,0.000,88.14,54.30
1.388,0.000,0.000,87.90,54.06
1.388,0.000,0.000,87.90,54.06
1.401,0.000,0.000,87.62,54.18
1.401,0.000,0.000,87.62,54.18
1.417,0.000,0.000,87.35,54.36
1.417,0.000,0.000,87.35,54.36
1.438,0.000,0.000,87.14,54.27
1.438,0.000,0.000,87.14,54.27
1.449,0.000,0.000,86.97,54.08
1.449,0.000,0.000,86.97,54.08
1.464,0.000,0.000,86.85,53.71
1.464,0.000,0.000,86.85,53.71
1.488,0.000,0.000,86.75,52.91
1.488,0.000,0.000,86.75,52.91
1.497,0.000,0.000,86.63,52.34
1.497,0.000,0.000,86.63,52.34
1.513,0.000,0.000,86.49,52.14
1.513,0.000,0.000,86.49,52.14
